text;topic
Ngā kaiwhaiwhai whakatere ka taea te koa ki te ihiihi o te whakatere i ngā wai tuwhera.;Sailing and boating
He ara whakatā te eke waka ki te noho ki te roto me ngā hoa me te whānau.;Sailing and boating
He maha ngā tāngata e kitea ana te whakamarie i te rangimārie o te noho ki runga i te wai.;Sailing and boating
Te ako ki te hoe waka rānei ki te whakahaere poti ka taea te wheako whakahirahira me te whakamana.;Sailing and boating
Ako i te toi o te whakarite kai mātātoa me ā mātou akomanga tunu kai.;Hunting and cooking
Te whaiwhai he ara pai ki te hono atu ki te taiao me te whāngai i tō whānau.;Hunting and cooking
Mai i te mara ki te tepu, he tino whai hua te tukanga o te whai me te tunu i tō ake kai.;Hunting and cooking
Hono mai ki a mātou mō tētahi haerenga whaiwhai me ako me pēhea te tika te whakarite me te tunu i te kai e kohia ana e koe.;Hunting and cooking
Te tipu ōhanga o te ao ka matapae he puhoi i tēnei tau.;The global economy
Kei te pā tonu ngā āwangawanga tauhokohoko i waenga i ngā ohanga nui ki ngā mākete o te ao.;The global economy
Ko nga maakete o te ao me nga punaha putea he tino hono, e hanga ana i te hokohoko me te haumi puta noa i nga rohe.;The global economy
Kei te anga atu te ōhanga o te ao ki te tūāoma nā ngā āwangawanga ā-tōrangapū puta noa i te ao me ngā pānga o te urutā.;The global economy
Pāpāho pāpori kua hurihia te āhua o tā tātou hononga ki ētahi atu me te kai i ngā kōrero.;The impact of social media
Kei te māharahara te tokomaha o te tangata mō ngā pānga kino o te whakamahinga pāpori pāpāho nui rawa atu ki te hauora hinengaro.;The impact of social media
Kei te whakamahi haere ngā pakihi i ngā pāpāho pāpori hei taputapu hokohoko ki te toro atu ki tētahi whakarongo whānui.;The impact of social media
Te pānga o ngā pāpāho pāpori ki te hapori kei te noho tonu hei kaupapa mō te tautohetohe me te rangahau.;The impact of social media
Te tūhura i ngā tawhiti whāiti o tō tātou pūnaha solar kua noho hei kaupapa matua mā ngā tari wātea.;The evolution of space exploration missions in the last decade
Kua āhei ngā ahunga whakamua i roto i te hangarau ki te whakamahi i ngā taputapu matatau ake mō ngā misioni torotoro wāhi.;The evolution of space exploration missions in the last decade
I te tekau tau whakamutunga, kua piki te maha o ngā misioni angitu ki te aorangi Mars me ērā atu wāhi.;The evolution of space exploration missions in the last decade
Ngā kairangahau kei te arotahi ināianei ki te rapu taunakitanga mō te oranga pea kei ētahi atu ao.;The evolution of space exploration missions in the last decade
Ngā tae kanapa me ngā tauira māia kei te hoki mai i ngā ahuatanga ahua o tēnei wāhanga.;Fashion trends
Ngā ahua nui rawa atu me ngā ringaringa whakaatu anō hoki kei te kaha noho ki ngā ara whakaatu.;Fashion trends
Ko ngā kōwhiringa ahua tauwhiro me te taiao e whai mana ana i waenga i ngā kaihoko.;Fashion trends
Ngā kāhua tawhito me te retro kei te tono tonu i ngā ia kākahu o nāianei.;Fashion trends
Te whanaketanga o te puoro kua noho hei tūāpapa nui i roto i te āhua o ngā ahurea huri noa i te ao.;The history and significance of music
Mai i ngā ritenga tawhito ki ngā whakangahau o nāianei, kua noho tonu te puoro hei wāhi nui i roto i te hapori.;The history and significance of music
Te hiranga o te puoro ka kitea i tōna kaha ki te whakaoho i ngā kare ā-roto me te whakakotahi i te tangata.;The history and significance of music
I roto i te hītori, kua whakamahia te puoro hei āhua whakaatu me te kōrero pakiwaitara.;The history and significance of music
Wheakohia tētahi ara hou o te ako mā roto i te hangarau mariko rumaki.;Advances in virtual reality and its applications in education
Ka taea e ngā ākonga ināianei te tūhura i ngā wāhi hītori me ngā ariā pūtaiao i roto i tētahi taiao mariko tūturu.;Advances in virtual reality and its applications in education
Te whakamahinga o te ao mariko i roto i te mātauranga kua kitea he pai ake te whakauru me te pupuri i ngā ākonga.;Advances in virtual reality and its applications in education
Kaiako e kitea ana ngā huarahi hou ki te whakauru i te ao mariko ki roto i ā rātou mahere akoranga hei whakarei i ngā wheako ako.;Advances in virtual reality and its applications in education
Ko ngā Taumāhekeheke Orimipia tawhito i tū ki Orimipia, Kariki, mai i te tau 776 BC ki te tau 393 AD.;The history of the Olympic Games
Ngā Taumāhekeheke Orimipia o ēnei rā i whakaora anōtia i te tau 1896 ki Ātene, Kariki.;The history of the Olympic Games
Ngā Taumāhekeheke Orimipia kua tū ki ngā tāone maha huri noa i te ao, tae atu ki Tōkyō, Rānana, me Rio de Janeiro.;The history of the Olympic Games
Ngā Taumāhekeheke Orimipia ka whakauru i tētahi whānuitanga o ngā hākinakina, mai i te kauhoe me ngā tātāwhāinga omaoma ki te whakapakari tinana me te poitūkohu.;The history of the Olympic Games
Te tautohetohe mō te whakatipuranga ira ka ara ake ngā pātai mō ngā hua pea mō ngā reanga kei te heke mai.;The ethical implications of genetic engineering
Kei te māharahara te tokomaha o te tangata mō ngā whakaaroaro tikanga mō te whakarerekē i te āhuatanga ira o ngā pūtake ora.;The ethical implications of genetic engineering
Te kaha ki te whakarerekē i te DNA ka taea te hurihanga i te rongoā me te ahuwhenua, engari ka puta hoki ngā take ā-kaupapa.;The ethical implications of genetic engineering
E whakapae ana ētahi ko ngā painga o te whakatikatika ira ka nui ake i ngā mōrearea pea, i te mea e whakapono ana ētahi atu he hē te takahuri i te taiao pēnei.;The ethical implications of genetic engineering
Kua hurihia e ngā ratonga roma te āhua o tā tātou kai i ngā whakangahau, ā, kua arahi tēnei ki tētahi panoni i te ahumahi kiriata me te pouaka whakaata tuku iho.;The influence of streaming services on the film and television industry
I te pikinga ake o ngā papa roma, kua nui ake te hiahia mō ngā ihirangi taketake, ā, ka waihanga i ētahi atu angitū mā ngā kaihanga kiriata me ngā kaiwhakaari.;The influence of streaming services on the film and television industry
Kua huri hoki te ngāwari o te rere o ngā ihirangi i ngā whanonga a te hunga mātakitaki, me te tokomaha ake o ngā tāngata e whiriwhiri ana ki te mātakitaki i ngā ihirangi i runga i tā rātou ake wātaka, kaua ki te piri ki ngā wātaka pouaka whakaata tuku iho.;The influence of streaming services on the film and television industry
I a te rerehua e haere tonu ana ki te rangatira i te ahumahi, kua arahina hoki tēnei ki ngā tautohetohe mō te pānga ki ngā whare pikitia me te anamata o te whare tapere.;The influence of streaming services on the film and television industry
Kimihia ngā tikanga hangarau matatau i whakamahia e ngā Ihipiana onamata ki te hanga i ngā pāramihita.;Facts about ancient civilizations
Whakakitea ngā ritenga me ngā karakia huna o te ahurea Maya.;Facts about ancient civilizations
Ako mō ngā mahi ahuwhenua matatau o te ahurea o te Iwi o te Raorao Indus.;Facts about ancient civilizations
Tūhuratia ngā mahi toi matatini me ngā uku a ngā Kariki tawhito.;Facts about ancient civilizations
I tūkinotia te kaitākaro whetū o te kapa i te wā o te tākaro, ā, ka mutu tana takaro mō te tau.;Sports related news
Ngā kaiwhaiwhai i pākia e te ngaronga ohorere.;Sports related news
Kei te aro atu ināianei te kaiako ki te wero ki te kimi i tētahi kaitākaro whakakapi.;Sports related news
Ahakoa te whakaroa, kei te kaha tonu te kapa ki te haere tonu i tā rātou raupapa toa.;Sports related news
"Ko te karere tuatahi i tukuna i runga i te ipurangi ko ""LO"", engari i hinga te pūnaha i mua i te taea te tuku i te ""G"".";The history of the internet
I hangaia te Ao Whānui Ipurangi i te tau 1989 e Tim Berners-Lee, he pūtaiao rorohiko nō Peretānia.;The history of the internet
Te pūtirotiro tukutuku tuatahi, i tapaina ko WorldWideWeb, i hangaia hoki e Tim Berners-Lee i te tau 1990.;The history of the internet
Kua panoni te ipurangi i te āhua o te whakawhitiwhiti kōrero me te uru ki ngā mōhiohio.;The history of the internet
Kimihia ngā arotake pukapuka hou mo ngā pukapuka tino hoko me ngā taonga huna.;Book reviews
Whiwhi māramatanga ki te āhua o te takoto, ngā pūāhua, me te āhua o te tuhituhi o ia pukapuka.;Book reviews
Kimihia ngā pukapuka e tika ana kia pānuihia me ngā mea hei whakarerea.;Book reviews
Noke tonu ki te whai i ngā tukunga hou me ngā ia pukapuka e haere ake nei.;Book reviews
Kimihia ngā huarahi rerekē ki te whakaputa moni mā te ipurangi.;How to make money online
Tūhura i te pūmanawa o te hokohoko ī-tauhokohoko me te hokohoko hononga mō ngā whiwhinga ipurangi.;How to make money online
Akohia ngā painga o te mahi tūao me ngā whai wāhitanga mahi mamao hei whakaputa moni ipurangi.;How to make money online
Mārama ki te hiranga o te whakangao wā me te kaha ki te hanga pakihi ipurangi angitu.;How to make money online
Te mārama ki ngā whanonga kaihoko he mea nui i roto i te whakawhanake rautaki hokohoko whai hua.;How psychology is used in marketing
Ngā mātāpono hinengaro e whakamahia ana hei whakaawe i ngā whakataunga a ngā kaihoko.;How psychology is used in marketing
Kaihokohoko ka whakamahi i ngā tikanga pēnei i te hinengaro tae me te tohu hapori hei kukume i ngā kare ā-roto o tā rātou minenga whāinga.;How psychology is used in marketing
Mā te patoto i te hinengaro mōhio, ka taea e ngā kaihokohoko te waihanga i ngā karere whakapāpāho e rata ana ki ngā kaihoko.;How psychology is used in marketing
Mahere taone nui he mea nui ki te āhua whakawhanake i ngā tāone hou o ēnei rā.;The role of urban planning in modern cities
Ka āwhina tēnei ki te whakarite kia whai hua te whakamahi i te whenua me ngā rauemi, i te wā e whakatairanga ana hoki i te tipu tauwhiro.;The role of urban planning in modern cities
Ma te whakaaro ki ngā āhuatanga pēnei i te kawe waka, te noho whare, me ngā wāhi tūmatanui, ko te whāinga a ngā kaiwhakamahere taone he waihanga hapori noho pai, hihiri hoki.;The role of urban planning in modern cities
Ko te whāinga o te mahere taone he waihanga i ngā tāone e mahi ana, ā, e pai ana hoki te āhua ki ngā kainoho me ngā manuhiri.;The role of urban planning in modern cities
Kei te ākihia ngā rangatira mōkai kia whakaurua he maramara iti ki ō rātou kararehe kia ngāwari ake te tautuhi i a rātou mēnā ka ngaro.;Pet related news
He rangahau hou e whakaatu ana ko te noho tahi me ngā mōkai ka heke i ngā taumata pēhanga me te pai ake o te oranga whānui.;Pet related news
Ngā pūtahi kararehe e pūrongo ana i te pikinga nui o ngā whakatamarikitanga i te mea kei te mahi te nuinga o ngā tāngata i te kāinga ā, kei a rātou te wā ki te tiaki i tētahi mōkai.;Pet related news
Te ahumahi mōkai e haere tonu ana ki te kite i te tipu me ngā hua auaha hou me ngā ratonga e whakarato ana i ngā hiahia o ngā mōkai me ō rātou rangatira.;Pet related news
He maha ngā tāngata e kitea ana te whakamarie me te arataki i ō rātou whakapono whakapono.;Religion and spirituality
Wairuatanga ka taea te wheako tino whaiaro me te aro nui ki roto.;Religion and spirituality
Ngā tikanga whakapono ka rerekē pea i waenga i ngā ahurea me ngā rohe rerekē.;Religion and spirituality
Te tūhura i ngā whakapono rerekē ka ārahi ki te mārama nui ake ki te ao e karapoti ana i a tātou.;Religion and spirituality
Kei te āheinga te mātauranga horihori ki te panoni i te hauora mā te pai ake o te tika o te tātaritanga me te whai hua o te maimoatanga.;The role of artificial intelligence in healthcare
Ngā algorithm AI ka tātari i ngā rahinga nui o ngā raraunga hauora ki te tautuhi i ngā tauira me te matapae i ngā hua mō te manawanui.;The role of artificial intelligence in healthcare
Mā te AI, ka taea e ngā kaiwhakarato hauora te whakarite mahere maimoatanga whaiaro me te hanga whakatau mōhio ake mā ō rātou tūroro.;The role of artificial intelligence in healthcare
Heoi, kei reira ngā āwangawanga mō ngā painga tikanga me ngā take tūmataiti e pā ana ki te whakamahinga o te AI i roto i te hauora.;The role of artificial intelligence in healthcare
Nga takahitanga raraunga tonu ki te whakawehi i nga whakahaere nui.;Cybersecurity challenges in the digital age using AI
Kei te whakamahia te AI ki te tautuhi me te urupare ki ngā whakawehi ipurangi i te wā tūturu.;Cybersecurity challenges in the digital age using AI
Ngā tohunga haumarutanga ipurangi kei te urutau tonu ki ngā rautaki hou e whakamahia ana e ngā kaiwhakangungu rorohiko.;Cybersecurity challenges in the digital age using AI
Kei te matapaetia te tipu haere tonu o te whakamahinga o te AI i roto i te haumarutanga ipurangi i ngā tau e tū mai nei.;Cybersecurity challenges in the digital age using AI
Mai i te hōtaka AI tuatahi i te tau 1956 ki tēnei rā, kua kitea te tipu me te whanaketanga nui i te mara nei.;The history of AI advancements
